Site;Publication;Period;Lower_ context_date;Upper_context_date;Amphora_type;Provenance;Frequency;Notes;Amphora type lower date;Amphora type upper date
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Dr 28;Baetica;1;;1;150
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Baetican;Baetica;2;;1;200
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Africana IA;Africa;2;;150;400
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Africana IB;Africa;1;;150;400
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Africana ;Africa;3;;150;400
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Tripolitana ;Tripolitania;1;;1;440
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Agora F65-66;Anatolia;1;;-50;400
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Kapitan 1;Aegean/Oriental;1;;75;350
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Kapitan 1/2;Aegean/Oriental;1;;75;400
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;AC2/3;Aegean;1;;1;225
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;AC;Aegean;1;;1;200
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Kingsholm 117;Orient;1;;50;150
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI;1;200;Aegean/Oriental;Aegean/Oriental;1;;1;200
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Dr 2-4;Adriatic Italy;18;;-70;225
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Forlimpopoli;Adriatic Italy;27;;-25;300
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Dr 6B;Adriatic Italy;13;;1;150
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;collo ad imbuto;Adriatic Italy;7;;1;250
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Dr 6B/collo ad imbuto;Adriatic Italy;1;;1;250
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Grado 1;Adriatic Italy;1;;1;200
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Adriatic;Adriatic Italy;568;;1;200
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Dr 1/2-4;Tyrrhenian Italy;2;;-150;50
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Dr 2-4;Tyrrhenian Italy;1;;-70;225
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Dr 7-11;Baetica;1;;-30;96
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Camulodunum 184;Aegean;2;;-25;150
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI;1;200;Dr 2-5;Aegean;2;;-100;200
Terme di Elogabalo, impianto fognario;"Radaelli E. 2013, Un riempimento fognario di età severiana dalle cosiddette “Terme di Elagabalo” a Roma, 2013, In De Sena, E. (ed), The Roman Empire during the Severan Dynasty: Case Studies in History, Art, Architecture, Economy and Literature. American Journal of Ancient History, 6-8. Gorgias Press: Piscataway (NJ): pp. 301-340.
";EI/LI;200;400;Zeest 80/MR5;Black Sea;1;;75;500
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI/LI;200;400;Africana II/III;Africa;1;;150;450
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI/LI;200;400;Tyrrhenian;Tyrrhenian Italy;9;;;
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI/LI;200;400;Baetican;Baetica;1;;;
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI/LI;200;400;African;Africa;110;;;
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";EI/LI;200;400;Aegean/Oriental;Aegean/Oriental;8;;;
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;Almagro 51 A-B;Baetica;2;;200;600
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;Africana IIIA;Africa;1;;275;400
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;Africana IIIB;Africa;2;;300;400
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;Keay 27A;Africa;1;;350;500
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;Keay 36;Africa;1;;375;500
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;Keay 35 B;Africa;1;;400;500
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;spatheia 1;Africa;2;;375;450
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;LRA1;Aegean/Oriental;2;;250;650
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LI;300;700;LRA2;Aegean;3;;325;650
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LR;-150;-1;Apani I;Adriatic Italy;1;;-150;-1
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LR;-150;-1;Dr 1B;Adriatic Italy;1;;-150;-50
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LR;-150;-1;Lamb.2;Adriatic Italy;80;;-200;-25
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LR/EI;-100;50;Lamb.2/Dr 6A;Adriatic Italy;37;;-200;50
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LR/EI;-100;50;Dr 6A;Adriatic Italy;67;;-25;50
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";LR/EI;-100;50;Ovoide di Brindisi;Adriatic Italy;5;;-125;-25
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";MR;-350;-150;Greco-Ital;Adriatic Italy;5;;-350;-150
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";MR;-350;-150;Greco-Ital;Tyrrhenian Italy;3;;-350;-150
Terme di Elogabalo, impianto fognario;"S. Menchelli, G.Picchi (2014): ""Distorsioni interpretative e concretezza epistemologica nello studio delle anfore romane: l’esempio dell’ager Firmanus (Marche meridionali, Italia)”, FOLD&R the Journal of Fasti Online";MR;-350;-150;Greco-Ital;Italy;1;;-350;-150
Verona;Buchi E. 1973: ‘Banchi di anfore romane a Verona. Note sui commerci cisalpini’, in AA.VV., Il territorio veronese in età romana (Convegno del 22-24 ottobre 1971), Verona, p. 534-637.;EI;1;200;Dr 6A;Adriatic Italy;80;;-25;50
Verona;Buchi E. 1973: ‘Banchi di anfore romane a Verona. Note sui commerci cisalpini’, in AA.VV., Il territorio veronese in età romana (Convegno del 22-24 ottobre 1971), Verona, p. 534-637.;EI;1;200;Dr 6B;Adriatic Italy;88;;1;150
Verona;Buchi E. 1973: ‘Banchi di anfore romane a Verona. Note sui commerci cisalpini’, in AA.VV., Il territorio veronese in età romana (Convegno del 22-24 ottobre 1971), Verona, p. 534-637.;EI;1;200;Brindisi;Adriatic Italy;5;;-125;-25
Verona;Buchi E. 1973: ‘Banchi di anfore romane a Verona. Note sui commerci cisalpini’, in AA.VV., Il territorio veronese in età romana (Convegno del 22-24 ottobre 1971), Verona, p. 534-637.;EI;1;200;Dr 28;Baetica;1;;1;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;LR;-100;-1;Brindisi;Adriatic Italy;23;Via Redentore, I BC;-125;-25
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;LR;-100;-1;Dr 6A;Adriatic Italy;65;Via Redentore, I BC;-25;50
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;LR;-100;-1;Dr 6B;Adriatic Italy;86;Via Redentore, I BC;1;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;LR;-100;-1;Dr 7-13;Baetica;2;Via Redentore, I BC;-30;96
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;LR;-100;-1;Forlimpopoli;Adriatic Italy;4;Via Redentore, I BC;-25;300
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;LR;-100;-1;Dr 2-4;Tyrrhenian Italy;7;Via Redentore, I BC;-70;225
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;LR;-100;-1;Camulodunum 184;Rhodes;4;Via Redentore, I BC;-25;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;LR;-100;-1;Tripolitana ;Tripolitania;1;Via Redentore, I BC;1;440
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 6A;Adriatic Italy;15;Via Campofiore e Via Trezza,;-25;50
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 6B;Adriatic Italy;109;Via Campofiore e Via Trezza,;1;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 7-13;Baetica;8;Via Campofiore e Via Trezza,;-30;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 28;Baetica;;Via Campofiore e Via Trezza,;1;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 2-4;Tyrrhenian Italy;18;Via Campofiore e Via Trezza,;-70;225
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 2-4;unknown;17;Via Campofiore e Via Trezza,;1;200
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Camulodunum 184;Rhodes;16;Via Campofiore e Via Trezza,;-25;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Aegean;Aegean;4;Via Campofiore e Via Trezza,;1;200
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 14;Lusitania;5;Via Campofiore e Via Trezza,;50;225
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 17;Baetica;3;Via Campofiore e Via Trezza,;50;100
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Schörgendorfer 558;N Adriatic Italy;3;Via Campofiore e Via Trezza,;1;200
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;collo ad imbuto;Adriatic Italy;20;Via Campofiore e Via Trezza,;1;250
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 6A;Adriatic Italy;300;;-25;50
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 6B;Adriatic Italy;400;;1;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 28;Baetica;2;;1;150
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 25;S Italy/Eastern Mediterranean;10;;-25;100
Verona;Pesavento Mattioli S. 1999: ‘Anfore romane a Verona: nuovi rinvenimenti’, QdAV  15, p. 40-48.;EI;1;200;Dr 2-4;Tyrrhenian Italy;2;;-70;225
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;200;Dr 6A;Adriatic Italy;56;;-25;50
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;200;Dr 6B;Adriatic Italy;74;;1;150
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;200;Camulodunum 184;Rhodes;6;;-25;150
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;200;Dr 7-13;Baetica;11;;-30;150
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;200;Dr 25;S Italy/Eastern Mediterranean;4;;-25;100
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;200;Forlimpopoli;Adriatic Italy;1;;-25;300
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;200;Dr 43;Crete;1;;1;250
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;200;AC3;Crete;2;;1;250
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;300;orlo ad imbuto ;Adriatic Italy;1;I - III AD;1;250
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;300;Schörgendorfer 558;N Adriatic Italy;1;I - III AD;1;200
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;300;unknown;Spain;1;I - III AD;1;300
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;300;Dr 20;Baetica;3;I - III AD;1;300
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;300;Dr 27;unknown;1;I - III AD;1;300
Verona;Museo Archeologico, Pavoni 2005, p. 184, fig. 1. Pavoni M.G., Anfore romane a Verona: la collezione del Museo Archeologico, QdAV  21/2005, p. 183-185.;EI;1;300;Africana ;Africa;6;I - III AD;1;300
Verona;Pavoni 2008, Pavoni M. G., 2008, Le anfore italiche, egee e ispaniche di tarda età repubblicana e di prima età imperiale, in G. Cavalieri Manasse ed.,  L’area del Capitolium di Verona : ricerche storiche e archeologiche, Verona 369-371. ;EI;1;200;Dr 6A;Adriatic Italy;1;Capitolium, ;-25;50
Verona;Pavoni 2008, Pavoni M. G., 2008, Le anfore italiche, egee e ispaniche di tarda età repubblicana e di prima età imperiale, in G. Cavalieri Manasse ed.,  L’area del Capitolium di Verona : ricerche storiche e archeologiche, Verona 369-371. ;EI;1;200;Dr 6B;Adriatic Italy;16;Capitolium, ;1;150
Verona;Pavoni 2008, Pavoni M. G., 2008, Le anfore italiche, egee e ispaniche di tarda età repubblicana e di prima età imperiale, in G. Cavalieri Manasse ed.,  L’area del Capitolium di Verona : ricerche storiche e archeologiche, Verona 369-371. ;EI;1;200;Dr 7-13;Baetica;2;Capitolium, ;-30;150
Verona;Pavoni 2008, Pavoni M. G., 2008, Le anfore italiche, egee e ispaniche di tarda età repubblicana e di prima età imperiale, in G. Cavalieri Manasse ed.,  L’area del Capitolium di Verona : ricerche storiche e archeologiche, Verona 369-371. ;EI;1;200;Dr 2-5;Aegean;13;Capitolium, ;-100;200
Verona;Pavoni 2008, Pavoni M. G., 2008, Le anfore italiche, egee e ispaniche di tarda età repubblicana e di prima età imperiale, in G. Cavalieri Manasse ed.,  L’area del Capitolium di Verona : ricerche storiche e archeologiche, Verona 369-371. ;EI;1;200;Camulodunum 184;Rhodes;6;Capitolium, ;-25;150
Verona;Pavoni 2008, Pavoni M. G., 2008, Le anfore italiche, egee e ispaniche di tarda età repubblicana e di prima età imperiale, in G. Cavalieri Manasse ed.,  L’area del Capitolium di Verona : ricerche storiche e archeologiche, Verona 369-371. ;EI;1;200;Dr 14;Lusitania;1;Capitolium, ;50;225
Verona;Pavoni 2008, Pavoni M. G., 2008, Le anfore italiche, egee e ispaniche di tarda età repubblicana e di prima età imperiale, in G. Cavalieri Manasse ed.,  L’area del Capitolium di Verona : ricerche storiche e archeologiche, Verona 369-371. ;EI;1;200;Schörgendorfer 558;N Adriatic Italy;10;Capitolium, ;1;200
